name,sector,founded,headquarters,founders,country,amount_raised_inr,state
Flebo,Health Tech,2021.0,Gurugram,"Ajay Singh,Avani Singh",India,,Haryana
Fleeca,Consumer Services,2016.0,Jaipur,Tikam Jain,India,,Rajasthan
Fleek,Enterprise Tech,2021.0,Bengaluru,"Aditya Uttaravalli, Arvind Eashwar",India,"Rs 83,830,000.0",Karnataka
FleetX,Logistics,2017.0,Gurugram,"Abhay Jeet Gupta, Parveen Kataria, Udbhav Rai, Vineet Sharma, Vishal Mishra",India,"Rs 2,099,900,000.0",Haryana
Flent,Real Estate Tech,2023.0,Bengaluru,"Mayank Lalwani, Rishabh Agnihotri, Shail Daswani",India,,Karnataka
FlewBalt,Media & Entertainment,2023.0,Secunderabad,"Kotha Sai Kawshik Reddy, Trinadh Garlapati",India,,Telangana
FlexC,Consumer Services,2020.0,Gurugram,"Girish Kukreja,Prasoon Gupta",India,"Rs 83,000,000.0",Haryana
FlexMoney,Fintech,2015.0,Mumbai,Yezdi Lashkari,India,"Rs 398,400,000.0",Maharashtra
FlexiCloud,Enterprise Tech,2015.0,Kochi,Vinod Chacko,India,,Kerala
FlexifyMe,Health Tech,2021.0,Pune,"Amit Bhayani, Manjeet Singh",India,"Rs 215,800,000.0",Maharashtra
Flexiloans,Fintech,2016.0,Mumbai,"Abhishek Kothari, Deepak Jain, Manish Lunia, Ritesh Jain",India,"Rs 15,184,020,000.0",Maharashtra
Flexing It,Consumer Services,2014.0,New Delhi,Chandrika Pasricha,India,,Delhi
FlickBay,Media & Entertainment,2012.0,Mumbai,"Trishant Sidhwani, Vishal Ramchandani",India,,Maharashtra
Flickstree,Enterprise Tech,2016.0,Mumbai,"Kalyandhar Vinukonda, Nagender Sangra, Rahul Jain, Saurabh Singh",India,"Rs 690,560,000.0",Maharashtra
Flint,Fintech,2021.0,Bengaluru,"Akshit Bordia, Anshu Agrawal",India,"Rs 423,300,000.0",Karnataka
Flintobox,Edtech,2013.0,Chennai,"Arunprasad Durairaj, Shreenidhi Srirangam, Vijay Gandhi",India,"Rs 1,354,560,000.0",Tamil Nadu
Flipclass,Edtech,2013.0,Bengaluru,Vineet Dwivedi,India,"Rs 103,750,000.0",Karnataka
Flipkart,Ecommerce,2007.0,Bengaluru,"Binny Bansal, Sachin Bansal",India,"Rs 1,162,830,000,000.0",Karnataka
Flipkart Leap,,2007.0,Bengaluru,,India,,Karnataka
FlippAR,,2015.0,Bengaluru,Vivek Jain,India,,Karnataka
Flipspaces,Real Estate Tech,2011.0,Mumbai,"Ankur Muchhal, Kunal Sharma",India,"Rs 882,290,000.0",Maharashtra
Flixy Games,Media & Entertainment,2015.0,Bengaluru,Felix Manojh,India,,Karnataka
Flo Mobility,Advanced Hardware & Technology,2020.0,Bengaluru,"Manesh Jain,Pratik Patel",India,,Karnataka
FloBiz,Fintech,2019.0,Bengaluru,"Aditya Naik, Rahul Raj, Rakesh Yadav",India,"Rs 3,650,340,000.0",Karnataka
FloWorks,Enterprise Tech,2021.0,Bengaluru,"Sarthak Shrivastava, Sudipta Biswas",India,"Rs 107,900,000.0",Karnataka
Floap,Health Tech,2018.0,Bengaluru,Shruthi Nithin,India,,Karnataka
Floik,Enterprise Tech,2022.0,Bengaluru,,India,,Karnataka
Floryo,Consumer Services,2021.0,Bengaluru,Manohar Kumar,India,"Rs 166,000,000.0",Karnataka
Flow Club,Fintech,2019.0,Bengaluru,"George Shanti, Gokul Harikumar, Gopikrishnan Mohan",India,,Karnataka
Flow Sports Life,Media & Entertainment,2017.0,Gurugram,"Sumit Garg,Amit Mongia",India,,Haryana
Flutrr,Media & Entertainment,2021.0,Kolkata,"Anil Pathak, Anirban Banerjee, Kaushik Banerjee, Suhrid Devsharma",India,"Rs 97,110,000.0",West Bengal
Flux Auto,Advanced Hardware & Technology,2017.0,Bengaluru,"Abhishek Gupta, Pranav Manpuria",India,,Karnataka
Fly91,Travel Tech,2022.0,Panjim,,India,,Goa
FlyBird Innovations,Agritech,2013.0,Bengaluru,Satish Ks,India,,Karnataka
FlyHi Finance,Fintech,2021.0,Mumbai,Brijesh Parnami,India,,Maharashtra
Flynx,Consumer Services,2014.0,Ahmedabad,"Arunangshu Bhakta, Brijesh Patel, Smit Patel, Unique Jain",India,,Gujarat
Flyrobe,Ecommerce,2015.0,New Delhi,"Pranay Surana, Shreya Mishra, Tushar Saxena",India,"Rs 885,610,000.0",Delhi
Flytant,Media & Entertainment,2020.0,Noida,Vivek Rai,India,,Uttar Pradesh
Flytta,Logistics,2017.0,Hyderabad,"Gokulavasan Murali, Rahul Kanuganti",India,,Telangana
Flyzy,Enterprise Tech,2020.0,Gurugram,"Deepak Meena, Arjit Singh, Hansraj Patel",India,,Haryana
Foaps,Enterprise Tech,2017.0,Kochi,"Ehthisham Tk, Muhammed Migdad",India,,Kerala
Focus Digit,Enterprise Tech,2015.0,Noida,Aditya Aggarwal,India,,Uttar Pradesh
Folks Motor,Clean Tech,2013.0,Gurugram,Nikhil Khurana,India,,Haryana
Food Memories,Ecommerce,2016.0,Ahmedabad,Dr Harmitsingh Sikh,India,,Gujarat
